Model,Sample,Prop,FPR
norm_ind,20,1.0,0.0645
norm_ex,20,1.0,0.0647
bin_ind,20,1.0,0.0656
bin_ex,20,1.0,0.0651
norm_ind,120,1.0,0.0522
norm_ex,120,1.0,0.0509
bin_ind,120,1.0,0.0521
bin_ex,120,1.0,0.0511
norm_ind,220,1.0,0.0513
norm_ex,220,1.0,0.0522
bin_ind,220,1.0,0.0514
bin_ex,220,1.0,0.0522
norm_ind,320,1.0,0.0495
norm_ex,320,1.0,0.0502
bin_ind,320,1.0,0.0498
bin_ex,320,1.0,0.0501
norm_ind,420,1.0,0.0512
norm_ex,420,1.0,0.0518
bin_ind,420,1.0,0.0508
bin_ex,420,1.0,0.0517
norm_ind,520,1.0,0.0529
norm_ex,520,1.0,0.0528
bin_ind,520,1.0,0.0528
bin_ex,520,1.0,0.0529
norm_ind,620,1.0,0.0496
norm_ex,620,1.0,0.0477
bin_ind,620,1.0,0.0495
bin_ex,620,1.0,0.0477
norm_ind,720,1.0,0.0482
norm_ex,720,1.0,0.0482
bin_ind,720,1.0,0.0482
bin_ex,720,1.0,0.048
norm_ind,820,1.0,0.0539
norm_ex,820,1.0,0.0537
bin_ind,820,1.0,0.0539
bin_ex,820,1.0,0.0537
norm_ind,920,1.0,0.0521
norm_ex,920,1.0,0.0521
bin_ind,920,1.0,0.0521
bin_ex,920,1.0,0.0521
norm_ind,1020,1.0,0.0511
norm_ex,1020,1.0,0.0493
bin_ind,1020,1.0,0.0511
bin_ex,1020,1.0,0.0492
