Model,Sample,Prop,Power
norm_ind,20,1.0,0.1001
norm_ex,20,1.0,0.1012
bin_ind,20,1.0,0.1009
bin_ex,20,1.0,0.1015
norm_ind,120,1.0,0.2733
norm_ex,120,1.0,0.2756
bin_ind,120,1.0,0.2739
bin_ex,120,1.0,0.2766
norm_ind,220,1.0,0.4303
norm_ex,220,1.0,0.4371
bin_ind,220,1.0,0.4307
bin_ex,220,1.0,0.4375
norm_ind,320,1.0,0.579
norm_ex,320,1.0,0.591
bin_ind,320,1.0,0.5791
bin_ex,320,1.0,0.591
norm_ind,420,1.0,0.6989
norm_ex,420,1.0,0.705
bin_ind,420,1.0,0.6991
bin_ex,420,1.0,0.7051
norm_ind,520,1.0,0.7859
norm_ex,520,1.0,0.7957
bin_ind,520,1.0,0.7859
bin_ex,520,1.0,0.796
norm_ind,620,1.0,0.8557
norm_ex,620,1.0,0.8626
bin_ind,620,1.0,0.856
bin_ex,620,1.0,0.8624
norm_ind,720,1.0,0.9089
norm_ex,720,1.0,0.9111
bin_ind,720,1.0,0.9093
bin_ex,720,1.0,0.9114
norm_ind,820,1.0,0.9296
norm_ex,820,1.0,0.9334
bin_ind,820,1.0,0.9298
bin_ex,820,1.0,0.9335
norm_ind,920,1.0,0.9581
norm_ex,920,1.0,0.9621
bin_ind,920,1.0,0.9581
bin_ex,920,1.0,0.9622
norm_ind,1020,1.0,0.9718
norm_ex,1020,1.0,0.974
bin_ind,1020,1.0,0.9718
bin_ex,1020,1.0,0.974
