Model,Sample,Prop,Power
norm_ind,1000,0.05,0.201
norm_ex,1000,0.05,0.2038
bin_ind,1000,0.05,0.2297
bin_ex,1000,0.05,0.2342
norm_ind,1000,0.15000000000000002,0.4754
norm_ex,1000,0.15000000000000002,0.4839
bin_ind,1000,0.15000000000000002,0.4967
bin_ex,1000,0.15000000000000002,0.5005
norm_ind,1000,0.25000000000000006,0.6607
norm_ex,1000,0.25000000000000006,0.6677
bin_ind,1000,0.25000000000000006,0.6729
bin_ex,1000,0.25000000000000006,0.6794
norm_ind,1000,0.35000000000000003,0.7716
norm_ex,1000,0.35000000000000003,0.7773
bin_ind,1000,0.35000000000000003,0.7786
bin_ex,1000,0.35000000000000003,0.7847
norm_ind,1000,0.45000000000000007,0.8522
norm_ex,1000,0.45000000000000007,0.857
bin_ind,1000,0.45000000000000007,0.8562
bin_ex,1000,0.45000000000000007,0.8609
norm_ind,1000,0.5500000000000002,0.8913
norm_ex,1000,0.5500000000000002,0.8983
bin_ind,1000,0.5500000000000002,0.8946
bin_ex,1000,0.5500000000000002,0.8999
norm_ind,1000,0.6500000000000001,0.9242
norm_ex,1000,0.6500000000000001,0.9287
bin_ind,1000,0.6500000000000001,0.9251
bin_ex,1000,0.6500000000000001,0.9294
norm_ind,1000,0.7500000000000002,0.9431
norm_ex,1000,0.7500000000000002,0.9459
bin_ind,1000,0.7500000000000002,0.9435
bin_ex,1000,0.7500000000000002,0.9466
norm_ind,1000,0.8500000000000002,0.9592
norm_ex,1000,0.8500000000000002,0.96
bin_ind,1000,0.8500000000000002,0.9596
bin_ex,1000,0.8500000000000002,0.9601
norm_ind,1000,0.9500000000000002,0.9683
norm_ex,1000,0.9500000000000002,0.9711
bin_ind,1000,0.9500000000000002,0.9683
bin_ex,1000,0.9500000000000002,0.9712
