Proportion,FPR,Method
0.05,0.0556,Bootstrap
0.15000000000000002,0.055,Bootstrap
0.25000000000000006,0.0513,Bootstrap
0.35000000000000003,0.0521,Bootstrap
0.45000000000000007,0.0534,Bootstrap
0.5500000000000002,0.0485,Bootstrap
0.6500000000000001,0.0508,Bootstrap
0.7500000000000002,0.055,Bootstrap
0.8500000000000002,0.053,Bootstrap
0.9500000000000002,0.05,Bootstrap
0.05,0.0509,Delta
0.1,0.0512,Delta
0.15000000000000002,0.0497,Delta
0.2,0.052,Delta
0.25,0.0498,Delta
0.3,0.0486,Delta
0.35000000000000003,0.0489,Delta
0.4,0.0487,Delta
0.45,0.0445,Delta
0.5,0.0522,Delta
0.55,0.0489,Delta
0.6000000000000001,0.0526,Delta
0.6500000000000001,0.051,Delta
0.7000000000000001,0.0517,Delta
0.7500000000000001,0.0507,Delta
0.8,0.0509,Delta
0.8500000000000001,0.0489,Delta
0.9000000000000001,0.0479,Delta
0.9500000000000001,0.049,Delta
1.0,0.0471,Delta
0.05,0.0542,Linearization
0.1,0.0494,Linearization
0.15000000000000002,0.0524,Linearization
0.2,0.0494,Linearization
0.25,0.0509,Linearization
0.3,0.0488,Linearization
0.35000000000000003,0.0458,Linearization
0.4,0.0529,Linearization
0.45,0.0496,Linearization
0.5,0.049,Linearization
0.55,0.0514,Linearization
0.6000000000000001,0.0491,Linearization
0.6500000000000001,0.049,Linearization
0.7000000000000001,0.05,Linearization
0.7500000000000001,0.0455,Linearization
0.8,0.051,Linearization
0.8500000000000001,0.0485,Linearization
0.9000000000000001,0.0474,Linearization
0.9500000000000001,0.0471,Linearization
1.0,0.0515,Linearization
