Sample,Power,Method
20,0.099,Bootstrap
120,0.2715,Bootstrap
220,0.4445,Bootstrap
320,0.5888,Bootstrap
420,0.7068,Bootstrap
520,0.7981,Bootstrap
620,0.8546,Bootstrap
720,0.8989,Bootstrap
820,0.9348,Bootstrap
920,0.9556,Bootstrap
1020,0.9725,Bootstrap
20,0.0857,Delta
40,0.1145,Delta
60,0.1505,Delta
80,0.1885,Delta
100,0.2246,Delta
120,0.2684,Delta
140,0.2952,Delta
160,0.3328,Delta
180,0.3651,Delta
200,0.401,Delta
220,0.4282,Delta
240,0.4645,Delta
260,0.4953,Delta
280,0.5323,Delta
300,0.5654,Delta
320,0.5753,Delta
340,0.6159,Delta
360,0.6332,Delta
380,0.6568,Delta
400,0.6751,Delta
420,0.7043,Delta
440,0.7141,Delta
460,0.7389,Delta
480,0.7547,Delta
500,0.767,Delta
520,0.7895,Delta
540,0.8115,Delta
560,0.8131,Delta
580,0.8352,Delta
600,0.8425,Delta
620,0.8555,Delta
640,0.8667,Delta
660,0.8804,Delta
680,0.8825,Delta
700,0.8997,Delta
720,0.902,Delta
740,0.908,Delta
760,0.912,Delta
780,0.9214,Delta
800,0.9296,Delta
820,0.9304,Delta
840,0.9392,Delta
860,0.9493,Delta
880,0.9479,Delta
900,0.9527,Delta
920,0.9569,Delta
940,0.9606,Delta
960,0.9651,Delta
980,0.965,Delta
1000,0.9719,Delta
1020,0.9703,Delta
1040,0.9744,Delta
1060,0.9774,Delta
1080,0.9794,Delta
20,0.0797,Linearization
40,0.1183,Linearization
60,0.1559,Linearization
80,0.1848,Linearization
100,0.2245,Linearization
120,0.2662,Linearization
140,0.2923,Linearization
160,0.3304,Linearization
180,0.3625,Linearization
200,0.3987,Linearization
220,0.4354,Linearization
240,0.4626,Linearization
260,0.4969,Linearization
280,0.5251,Linearization
300,0.5551,Linearization
320,0.5778,Linearization
340,0.6153,Linearization
360,0.6283,Linearization
380,0.6554,Linearization
400,0.6725,Linearization
420,0.7013,Linearization
440,0.7121,Linearization
460,0.735,Linearization
480,0.7559,Linearization
500,0.7732,Linearization
520,0.7869,Linearization
540,0.8044,Linearization
560,0.8187,Linearization
580,0.819,Linearization
600,0.8427,Linearization
620,0.8511,Linearization
640,0.863,Linearization
660,0.8704,Linearization
680,0.8836,Linearization
700,0.8909,Linearization
720,0.9019,Linearization
740,0.9097,Linearization
760,0.9146,Linearization
780,0.9239,Linearization
800,0.9313,Linearization
820,0.9355,Linearization
840,0.9442,Linearization
860,0.9456,Linearization
880,0.9498,Linearization
900,0.9547,Linearization
920,0.9591,Linearization
940,0.9615,Linearization
960,0.9659,Linearization
980,0.9686,Linearization
1000,0.9707,Linearization
1020,0.9719,Linearization
1040,0.9753,Linearization
1060,0.9786,Linearization
1080,0.9777,Linearization
