Proportion,Power,Method
0.05,0.2139,Bootstrap
0.15000000000000002,0.4832,Bootstrap
0.25000000000000006,0.6781,Bootstrap
0.35000000000000003,0.7835,Bootstrap
0.45000000000000007,0.8505,Bootstrap
0.5500000000000002,0.8967,Bootstrap
0.6500000000000001,0.9228,Bootstrap
0.7500000000000002,0.9459,Bootstrap
0.8500000000000002,0.9542,Bootstrap
0.9500000000000002,0.9682,Bootstrap
0.05,0.1881,Delta
0.1,0.3428,Delta
0.15000000000000002,0.4735,Delta
0.2,0.5759,Delta
0.25,0.664,Delta
0.3,0.7254,Delta
0.35000000000000003,0.7786,Delta
0.4,0.8262,Delta
0.45,0.8491,Delta
0.5,0.8796,Delta
0.55,0.8906,Delta
0.6000000000000001,0.9093,Delta
0.6500000000000001,0.9266,Delta
0.7000000000000001,0.9374,Delta
0.7500000000000001,0.9441,Delta
0.8,0.9466,Delta
0.8500000000000001,0.9555,Delta
0.9000000000000001,0.9639,Delta
0.9500000000000001,0.9644,Delta
1.0,0.971,Delta
0.05,0.1869,Linearization
0.1,0.3412,Linearization
0.15000000000000002,0.4613,Linearization
0.2,0.5738,Linearization
0.25,0.6563,Linearization
0.3,0.7262,Linearization
0.35000000000000003,0.7835,Linearization
0.4,0.819,Linearization
0.45,0.8436,Linearization
0.5,0.8756,Linearization
0.55,0.8971,Linearization
0.6000000000000001,0.9135,Linearization
0.6500000000000001,0.9245,Linearization
0.7000000000000001,0.9352,Linearization
0.7500000000000001,0.9409,Linearization
0.8,0.9476,Linearization
0.8500000000000001,0.9562,Linearization
0.9000000000000001,0.9627,Linearization
0.9500000000000001,0.9672,Linearization
1.0,0.9699,Linearization
